stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,167.54,0,4.09,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,18.19,1.07,0,1.07,0
21Day,0,0,0,0,0,0,0,0,6.69,0,0,0,0,2.68,0,0,0,0
3Month,0,0,2.56,0,2.88,0.64,0.32,0.32,0,2.24,0.32,0,0,0,0,0.96,0,0.32
22Month,0,0,0.55,1.09,27.88,0.55,0,0,1.09,2.19,0.55,0.55,1.09,0,0,0.55,0,0
