stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,4.09,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,0,53.12,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0,9.92,0.32,0,0,0.32,0.32,0.96,1.28,0.64,0.64,0,0,0.32,0,0,0,0.32,0,0
22Month,0,0,7.11,0,0.55,0.55,5.47,0,0.55,0.55,0,0,2.19,0,0.55,1.09,0,0,0,0,1.09
