stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,1.07,2.14,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.96,0.96,18.88,0.64,0.96,1.6,2.24,0,21.12,2.88,6.72,3.52,1.6,4.16,6.08,1.28,0,1.28,1.6,0,0,0.32,1.28,0,3.52,0.32,26.56,0,2.24,916.97,3.84
22Month,0,0,3.83,0,0,0.55,1.64,0.55,26.24,0,2.19,1.09,0,1.09,1.09,0,0.55,0,0,0,0,0,0.55,0,1.09,0,6.01,0.55,0,2.73,0
