stage,Epithelial_cell,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,4.09
72hpf,0,0,0,1.07,2.14,0
21Day,0,1.34,1.34,0,0,0
