stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,32.69,24.52,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,17.12,6.42,1.07,1.07,0,0,14.98,1.07,1.07,0
21Day,0,0,2.68,0,0,0,0,0,4.02,0,0,12.05,2.68,1.34,0,1.34,0,0,4.02,1.34,0
3Month,0,0,2.24,0,0,1.6,0.96,0.96,0.32,0,0,0,0,0.64,0.32,0,0.64,0,0,0,9.28
22Month,0,0,0,0.55,0.55,4.37,0,0,0.55,1.09,1.09,0.55,0,0,0,0,0,0,0,0,0
