stage,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,53.12,0,0,0,0
72hpf,0,0,0,0,0,1.07,12.84,0,1.07,0,0
3Month,0.32,0.96,0,0.32,0,0,0,0.64,0,3.84,0.32
22Month,0.55,1.09,0.55,0,0.55,0,0,0,0,0,0
