stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,28.6,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,1.07,3.21,0,0,0,1.07,0,0,0,0,1.07,0,1.07,5.35,0,5.35,0,0,0,0,28.88,33.16,0,0,0,1.07,0,0,4.28,0,0,0,0
21Day,4.02,0,13.39,1.34,4.02,0,0,0,0,0,0,1.34,4.02,4.02,0,0,2.68,1.34,9.37,0,0,0,0,17.4,5.35,0,1.34,0,5.35,2.68,1.34,0,0,0,0,2.68
3Month,0.32,0.96,15.68,0,0,0.32,0.96,5.12,22.4,0.32,0,22.08,27.84,1.6,11.2,0.64,3.2,11.52,8.64,3.2,0.32,6.08,0.32,0.96,0.64,1.28,5.12,0,0.96,5.76,54.71,0,0.32,1.92,48.95,12.48
22Month,1.09,3.28,4.37,0,0,0,1.64,1.64,23.51,7.11,0,277.15,15.31,1.64,9.84,0.55,0.55,8.2,8.2,0,1.64,2.19,0,0,0,2.73,4.37,0.55,0,0,3.83,1.64,0,2.19,0,6.01
