stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,3.21,3.21,0,1.07,97.35,28.88,1.07,1.07,0,1.07,1.07,0,1.07
21Day,1.34,2.68,1.34,0,0,0,4.02,0,0,38.82,0,0,1.34,0,1.34,0,1.34,0
22Month,0,1.09,0,68.33,0.55,0,0.55,0.55,0,0,0,0,0,0.55,0.55,0,0,0
