stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,4.09,0,0,0,0,0,24.52,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,0,0,0,1.07,19.26,8.56,0,0,3.21,0,0,1.07,0,0,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,1.34,0,0,1.34,0,0,1.34,1.34,2.68,0,0,0,0,0
3Month,0,0.64,0,6.72,0,0,1.28,0,0.32,2.56,0.32,0,8.32,1.28,7.68,2.88,1.28,4.48,2.56,0.32,0,1.6,9.28,0.32,0,0.96,0,0.32,0.64,55.99,0.32,0,0.32,19.84,0.64
22Month,0,1.09,0.55,6.56,0,0,0,0.55,0,1.64,1.09,0,38.27,0,4.37,2.19,1.09,0.55,3.83,0,4.37,1.09,1.09,2.19,0,1.09,44.83,0,0,16.95,0.55,0.55,0,0,1.09
