stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0,0,4.09,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,4.28,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,1.34
3Month,0,0.32,0.96,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0,0.32,1.6,0.32
