stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0
72hpf,0,0,1.07,0,0,1.07,0,1.07,6.42,3.21,0,1.07,0,2.14,0
21Day,0,0,0,0,1.34,0,0,0,5.35,1.34,0,0,0,0,1.34
3Month,0,0.64,0,0,0.32,0.32,0.32,0.96,0,0,0.32,0,0.32,0.32,0
22Month,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0
