stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,77.64,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,0,1.07,0,0,0,0,0,0,0,0,2.14,2.14,5.35,0,0,0,0,1.07,6.42,7.49,0,0,3.21,0,0,10.7,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,1.34,0,4.02,0,1.34,0,0,0,6.69,8.03,0,0,0,0,0,9.37,5.35,0,0,0,0,2.68,5.35,1.34,0,0,0,0
3Month,0,1.6,0.96,39.35,3.2,0,1.28,0.96,1.92,78.07,18.88,2.56,0.32,17.6,11.2,9.28,12.16,3.84,1.28,0.32,2.24,4.8,6.72,0,1.28,1.28,0.64,2.24,14.4,1.6,0,0.32,1.6,762.44,2.88
22Month,0.55,0.55,0,8.75,0,0,0,0,0,7.65,4.92,0,0,1.09,0,0.55,3.28,1.09,0,0,0.55,0,0.55,0,0,0,0.55,0,5.47,0.55,0,0.55,0,3.28,0
