stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0,4.28,2.14,0,0,0,0,12.84,2.14,0,0,0,1.07,0,0,0,1.07,2.14,0,0,0
21Day,0,1.34,1.34,5.35,1.34,0,0,1.34,0,0,1.34,0,1.34,0,4.02,6.69,0,6.69,0,0,10.71,2.68,0,2.68,0,0,2.68,0,1.34,2.68,5.35,9.37,0,0
3Month,0,1.6,0.32,1.92,0,0,0,5.44,0,0,1.92,0.64,0,5.12,0.64,0.32,0,0.96,0,0.64,0,0,1.92,0,0,0,0.32,0.32,0,0,0,0,5.44,0.32
22Month,0,0,1.64,1.64,0,0.55,0.55,1.09,1.09,0,10.39,0.55,0,4.92,0,0,0.55,1.09,0.55,0,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0
