stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,9.63,4.28,0,0,0,0,0,1.07,0,0
21Day,0,2.68,1.34,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0
3Month,0,2.56,0,0.32,1.28,0,1.28,0.64,0.96,0.64,0.64,0.32,0.96,0,0,0.96,0,0.32,32.31,0,0,9.92,0.64
22Month,0.55,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0.55,1.64,0,6.01,0.55,0,0,0
