stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,5.35,2.68,0,16.06,0,4.02,0,0,0,0,0,5.35,2.68,0,0,6.69,16.06,579.58,4.02,0,0,0,10.71,8.03,0,1.34,1.34,18.74,0,2.68,1.34,0,0,1.34
3Month,0.64,0.64,0.32,21.12,0.64,0,1.92,0.32,1.6,6.4,0,69.11,4.48,0.64,9.92,2.88,7.04,1600.39,70.71,11.84,0.32,1.28,0,0,0.32,0,3.84,4.8,2.88,0.32,0,1.6,4.16,4.16
22Month,0,1.09,0,7.11,0,0,0.55,0,0,0.55,0.55,37.72,1.09,0,2.73,0,0.55,61.23,49.2,1.09,1.09,0,0,0,0,0.55,1.64,0.55,0,0,0,0,0,1.09
