stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,1.07,0,0,0,0,0,0,1.07,0,0,6.42,0,0,0,0,38.51,5.35,0,1.07,1.07,0,0,0,0,0,0
21Day,0,0,0,5.35,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,34.8,4.02,5.35,0,1.34,1.34,0,1.34,0,0,0
3Month,0,0.32,0,7.04,0,3.52,0,0,3.84,0,1.28,0.64,1.28,0.64,2.24,0.32,0,0,0.96,0.64,0,12.8,0,0.64,0.32,1.6,0.32,0.64,1.6,0.64
22Month,0,0.55,1.09,1.64,0,0.55,0.55,1.09,8.75,0.55,2.19,0,0.55,1.09,3.28,0,0.55,0,0,0,0,13.12,1.09,0,0,2.19,0,0,0,0.55
