stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
22Month,0,0.55,0.55,0.55,0.55,0.55,7.65,0.55,0.55,1.64,1.09,0.55,0,0
