stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,555.75,57.21,0,32.69,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,151.2,200.23,0,0,0,8.17,20.43,192.06,0,0,49.04,0,0,0,0,0,0,0,0,0
72hpf,531.69,37.44,0,20.33,13.91,7.49,0,2.14,0,1.07,0,0,0,8.56,0,2.14,22.47,85.58,134.79,0,0,9.63,1.07,138,36.37,0,0,188.28,0,0,7.49,77.02,31.02,18.19,0,0,0
21Day,325.26,13.39,8.03,21.42,5.35,5.35,0,4.02,0,8.03,0,4.02,0,72.28,0,0,6.69,100.39,91.02,0,0,10.71,0,26.77,13.39,4.02,4.02,72.28,8.03,0,1.34,84.33,168.66,6.69,1.34,0,5.35
3Month,3.2,9.6,3.2,9.28,1.92,0,0.96,2.24,2.88,4.8,0.32,6.72,1.28,5.12,2.88,1.92,2.24,70.07,28.48,4.48,0,10.56,0.64,0.96,0.64,9.28,0.32,0.32,0.96,21.76,0,1.28,0,0.32,74.55,2.88,26.56
22Month,2.19,25.15,6.56,9.84,0,0,0.55,8.2,4.37,13.12,52.48,10.93,10.39,13.67,3.28,1.09,2.19,98.94,34.44,0.55,2.19,6.01,0,0.55,0,11.48,0.55,1.64,0,3.28,0,32.25,0,0.55,15.31,0,15.31
