stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,0,4.09,40.86,0,16.35,237.01,0,8.17,0,0,24.52
72hpf,1.07,1.07,1.07,1.07,0,1.07,0,2.14,5.35,20.33,0,104.84,57.77,13.91,9.63,1.07,3.21,9.63
21Day,0,0,0,1.34,0,0,1.34,0,2.68,6.69,1.34,28.11,34.8,1.34,0,2.68,8.03,0
3Month,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1.09,0,0,0
