stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,1.07,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,2.68,0,0,0,4.02,2.68,0,0,2.68,0,0,1.34,0,0,0,0
3Month,0.32,1.92,0,0.32,0,0,4.48,0.96,0.32,0.96,0.32,1.28,2.24,0.32,0.32,0,0,0,0,0,0.64,0.32,0.32,0.96
22Month,2.73,6.01,0.55,0.55,3.28,3.28,58.49,1.09,1.64,3.83,0,0,2.19,6.01,0,0.55,0.55,0,0,0,0,1.09,0,0
