stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0
21Day,1.34,6.69,0,0,1.34,0,1.34,2.68,0,4.02,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,1.28,8.32,0.32,0,1.28,0,0.64,0.32,0.32,0.32,0,0.32,0,0,0,0.32,0,0,0.64
22Month,0,0.55,15.31,0,0.55,1.09,0,0.55,0,1.64,0.55,0.55,0,0,1.09,0.55,0.55,0,0,0.55
