stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,339.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,8.17,102.16,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,8.56,0,114.47,2.14,0,0,0,0,0,0,0,0,0,1.07,25.67,1.07,41.72,0,0,1.07,7.49,6.42,0,63.12,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,20.08,1.34,1.34,0,0,0,0,0,0,1.34,0,0,9.37,0,18.74,0,0,0,4.02,0,0,18.74,0,0,1.34,0,2.68,0,0,0,0
3Month,0,3.84,0,4.8,0,0.32,0.32,0.32,0.96,0,7.68,6.72,0,1.92,0,4.48,0.96,12.8,0.32,0,0.96,0,0,0,0.32,1.28,3.2,0.32,0,0,0.32,0.64,1.28,1.92
22Month,0,3.28,1.64,6.01,0,0.55,0,0,2.19,0.55,53.57,2.73,0.55,2.73,0,2.73,6.56,7.11,0.55,1.09,0,0,0,0.55,0.55,0,3.28,0,0.55,0,0.55,0,0,0.55
