stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,4.09,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,2.14,2.14,7.49,2.14,0
21Day,1.34,0,0,1.34,2.68,1.34,0,0,0
3Month,0,0.64,0,0,0,0,0,0,0.32
22Month,0,0.55,3.28,0,0,0,0,0,0
