stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,355.52,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,140.14,1.07,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,3.21,0,0,0,4.28,3.21,1.07,0,0,0,0,0,0,0,0,0
21Day,66.93,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,2.68,0,5.35,1.34,0,0,2.68,0,1.34,0,0,0,0,0
3Month,8.64,1.28,5.76,0,0.32,2.88,0.32,13.76,0.96,0.32,4.48,0.32,5.76,1.92,4.48,0,0.96,0.32,1.28,0.32,0.32,0,0.32,0.96,37.43,0,0.64,0.32,20.48,4.16
22Month,1.64,1.09,2.19,0,0,1.09,0.55,38.81,1.64,0,2.19,0,1.64,3.28,3.28,2.19,0.55,0,1.64,0,0.55,1.09,0,0,9.84,0.55,0,0,0,3.28
