stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,4.09,0,4.09,4.09,8.17,0,8.17,24.52,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,1.07,0,3.21,3.21,0,0
21Day,0,1.34,0,0,0,0,4.02,0,1.34,0,1.34,0,1.34
3Month,0,0,0,0.32,0,0,0,0,0,0,0,0.96,0
22Month,0,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0
