stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,2.14,36.37,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,0,26.77,1.34,1.34,0,0,0,0,0,0,4.02,8.03,0,0,0,0,0,0,0,0,0,0,0
3Month,0,35.83,0,0,0,0.64,2.24,0.32,0.32,0.96,7.04,0.96,0.96,0.32,0,0.32,1.6,0,0.32,0.32,1.28,0,0.32
22Month,0.55,3.28,0,0,1.09,0,2.73,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0.55,0
