stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,8.17,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,8,1.92,0.96,0,4.16,0.64,0.32,1.28,0.96,1.28,0,0.32,0,0,0,0.96,0.64,0,0.64,0.96
22Month,1.09,20.77,5.47,4.92,2.73,68.33,0.55,1.09,4.92,0,2.73,6.56,0.55,1.09,0,1.64,2.73,0.55,0.55,0,1.09
