stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
3Month,0.64,27.52,0.32,0.32,2.24,2.24,0.32,9.6,3.52,2.24,0.96,5.76,0.32,0,0.32,0.64
22Month,0,5.47,1.09,0,3.83,0,0,5.47,3.83,0,0,0.55,0,0,0.55,1.09
