stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,8.56,2.14,0,0,0,1.07,0
21Day,0,1.34,5.35,5.35,1.34,13.39,1.34,8.03,1.34,1.34,1.34,1.34,0,1.34
