stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,4.28,0,0,0,10.7,0,0,0,1.07,0,0,0,0
21Day,1.34,0,2.68,2.68,0,1.34,0,0,0,0,0,1.34,0,1.34,1.34,2.68,0,1.34,1.34,2.68,1.34,0,0,0,0,0,0,1.34
3Month,0,0.32,4.8,8.96,0.64,0,8.64,0.64,16.64,0.64,0,114.22,0.32,1.28,1.92,8.64,2.88,3.84,5.76,0.32,0.32,1.28,0.32,0,0.64,3.84,0.32,0.96
22Month,0.55,0.55,3.28,4.92,0,0,18.04,1.64,6.56,0,1.09,80.36,1.09,0.55,3.83,7.65,0.55,0.55,0.55,0,0,1.09,0,0.55,1.09,3.83,0,3.83
