stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,2.14,0,0,23.54,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,16.06,1.34,0,0,0,0,0,0,0,0
3Month,0.64,1.6,1.6,16,0.64,1.92,6.4,15.36,2.24,0,8,1.28,4.48,2.88,4.8,0.64,1.28,1346.99,1.6,0,0.32,0.64,1.92,4.16,1.92,4.16,4.8
22Month,0,0.55,0,0,0,0.55,1.09,10.39,0,0.55,1.64,0.55,0,0,2.19,0,0,33.35,0,0,0,0,0,1.09,0,0,1.09
