stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,12.26,0,57.21,0,4.09,0,0,0,0,0,0
72hpf,5.35,4.28,4.28,1.07,1.07,0,1.07,2.14,4.28,1.07,7.49,129.44,49.21,0,16.05,0,5.35,1.07,0,1.07,0
21Day,4.02,0,16.06,0,8.03,2.68,6.69,1.34,2.68,1.34,24.09,37.48,16.06,1.34,13.39,1.34,0,1.34,4.02,0,2.68
