stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,37.44,3.21,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,5.35,2.68,2.68,1.34,0,0,0,1.34,2.68,1.34,12.05,4.02,0,40.16,5.35,0,1.34,1.34,1.34,1.34,1.34,1.34,0,0
3Month,0,0.32,0.32,0.32,0,0,0,0,1.92,0,0.64,0.32,0,3.52,1.28,0.32,0.32,0,0.96,0,0,0,2.24,0,0,0.32,0.32
22Month,0,0,0,0,0,0,0,0.55,2.19,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,2.19,0.55,0,0,0
