stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,7.49,1.07,4.28,0,0,0,0,0,0,0,6.42,7.49,4.28,6.42,0,0,1145.75,32.09,1.07,0,17.12,0,0,4.28,600.15,800.2,1.07,0,0,0
21Day,5.35,0,2.68,32.12,2.68,16.06,4.02,0,2.68,4.02,1.34,4.02,4.02,1.34,13.39,1.34,29.45,0,1.34,155.27,13.39,0,1.34,30.79,5.35,0,2.68,540.77,1717.34,0,0,0,2.68
3Month,0,0,0,0.32,0,0,0,0,0,0.64,1.28,0,0,0,0.64,0.64,0,0,0.32,3.2,0,0.32,0.64,0,0,0.64,0,9.6,2.88,0,0.32,0.96,0
22Month,0.55,0,0,2.73,0,0,0,0.55,1.64,10.39,1.09,0,0.55,0,0,0,1.64,1.64,0,0,0,0,0,0,0,2.19,0.55,189.69,1.64,0,0,0,0
