stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,0,2.14,0,0,0,0,0,0,2.14,0,1.07,5.35,25.67,0,0,22.47,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,1.34,9.37,1.34,0,9.37,0,4.02,0
3Month,0,0.64,0,0,0.32,0.96,0,0.32,0,0,0.64,0.64,0,0.32,0.64,0.96,0,0,0
22Month,1.09,0,0,0.55,0,5.47,1.09,0.55,0.55,0.55,0.55,0.55,0,0,0,0,0.55,0,0.55
