stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,24.52,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,6.42,1.07,0,3.21,0,0,0,26.74,2.14,3.21,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,160.62,14.72,0,5.35,0,0,1.34,0,0,1.34,0,2.68,0,0,4.02,1.34,12.05,0,0,2.68,22.76,14.72,4.02,4.02,0,1.34,5.35,0,0,1.34,0,0,0,0
3Month,1.92,280.92,75.51,0.32,0,1.92,0.64,14.08,8.96,0,29.44,11.52,0.64,34.87,6.4,7.04,5.44,26.88,1.92,0.32,6.4,366.34,0.32,0,6.72,1.28,0.32,4.48,7.04,1.6,0,0.32,2.88,8.64,6.08
22Month,1.09,132.29,12.57,0,0,0,0,14.76,2.19,1.09,24.05,0,0.55,12.57,0.55,1.09,3.28,8.75,0,1.09,2.73,24.05,0,0.55,2.19,0,0,0.55,1.64,0,0,0,0,0,0.55
