stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,1.34,1.34,0,0,0,0,0,10.71,0,0,6.69,1.34,0,0,5.35,1.34,0,0,5.35,0,0,0,0,1.34,2.68,0,0,0,0,0,0
3Month,0.32,0.64,4.16,11.52,0,2.88,0.32,5.12,3.2,0,463.29,4.8,0.32,326.35,1.6,4.8,4.16,4.16,0.64,0.64,17.28,0.32,0,1.6,0.64,0,0,8,2.88,0.32,0.32,0.64,0.96,5.12
22Month,0.55,1.09,4.37,3.28,0,2.73,0,2.73,1.64,2.19,1045.2,1.64,0,260.21,0.55,0.55,2.19,4.92,14.76,1.64,0.55,1.09,1.09,1.64,1.09,0.55,0.55,1.09,0.55,0.55,0.55,0.55,0.55,1.09
