stage,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,8.17,0,4.09,8.17,0,44.95,0
72hpf,1.07,0,1.07,0,3.21,17.12,28.88,4.28
21Day,0,0,0,0,1.34,6.69,1.34,0
