stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,81.73,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,4.09,24.52,0,0,0,0,4.09,388.21,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,7.49,21.4,2.14,0,0,0,0,0,0,0,2.14,6.42,6.42,0,23.54,0,3.21,0,0,48.14,83.44,2.14,0,11.77,0,0,18.19,2.14,0,0
21Day,6.69,0,0,6.69,9.37,4.02,0,0,0,0,1.34,0,2.68,0,0,1.34,0,16.06,0,0,0,0,16.06,33.46,0,1.34,17.4,4.02,1.34,4.02,1.34,0,0
3Month,0,0.96,0.96,15.36,0.32,0,0.64,1.92,0,0,15.36,1.28,0,5.44,1.28,2.56,1.28,2.88,0.32,0,1.28,1.28,0,0.32,1.28,0,0,0.64,6.4,0,0,422.01,2.24
22Month,0,0,0.55,3.28,0,0,0,0,0.55,0,16.95,0,2.19,3.83,0,0.55,0.55,2.19,0,0.55,0.55,0,0,0,0.55,0,0,0,1.64,0.55,0,2.19,0
