stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,2.14,0,63.12,1.07,2.14,0,7.49,0,0,0,0,1.07,0,0
21Day,4.02,0,2.68,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,37.48,0,0,2.68,0,22.76,0,0,0,10.71,0,0,0,0,1.34,0,1.34
3Month,0.32,0,4.16,0,0.32,2.88,0.64,0,10.24,1.28,0,2.24,0.32,2.24,0.32,6.08,1.28,0,2.24,0.32,0.32,0,5.12,0.32,0.32,0.32,2.88,0,0,0.32,0.32,0.64
22Month,0.55,1.09,2.73,0,0,1.64,2.19,0.55,45.92,0.55,1.64,6.01,0,0,2.73,5.47,0.55,0.55,1.09,0,0,0,4.37,0,0,0,2.19,0.55,0.55,0,0,1.09
