stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0,0.32,0,0,0,0,0,0,0,0,0.32,0.32,0
22Month,1.09,0,0.55,3.83,0.55,0.55,0.55,1.09,0.55,0.55,0,0,0.55
