stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,163.46,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,16.05,0,0,0,0,0,2.14,0,0,0,0,2.14,2.14,0,4.28,0,0,0,0,0,3.21,0,0,0,2.14,0,0,0,0,0,0,0
21Day,6.69,0,0,30.79,0,0,4.02,0,0,0,1.34,0,1.34,0,0,4.02,0,14.72,0,0,2.68,0,5.35,1.34,1.34,0,0,13.39,5.35,0,0,0,0,0,2.68
3Month,0,0.64,0.96,213.73,0.64,0.32,415.93,4.48,0,0,19.2,6.72,0.32,14.08,1.92,3.52,6.72,4.16,2.24,0.64,3.2,1.28,0.96,0,0.96,0.32,0,0.96,1.92,5.76,0,0.32,0.64,4.8,4.8
22Month,0,8.2,6.01,88.56,0.55,0,358.61,12.03,2.73,0,223.04,1.64,0.55,34.99,0,1.64,7.65,10.39,0.55,14.21,4.37,0,0.55,0,4.37,1.09,0.55,1.64,0.55,2.19,1.09,0,0,0,3.28
