stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,2.68,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0
3Month,1.92,4.48,1.28,1.28,4.48,1.28,87.03,0,0.64,0.96,0.64,0,0.64,0.32,0,0,1.28,0.64,0.32,0.32
22Month,3.83,2.19,1.64,0,8.75,0,93.48,0,0,0,0.55,0.55,0,0,0,0.55,0.55,0,0,0
