stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,0,0,0,3.21,4.28,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,4.02,0,0,0,0,0,4.02,1.34,2.68,76.3,2.68,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,13.39
3Month,0,0,0.32,1.92,0,0,0.64,0.32,37.43,4.8,49.59,0.32,2.56,0.96,52.79,2.56,0,0.32,0.32,0.32,0,0.32,0.64,0.64,1.28,0.32,0,0.32,1.28,39.67
22Month,0,1.09,0,1.64,0,0,0,0,32.8,8.2,16.4,0.55,0.55,0,45.37,1.09,0.55,0,0,0,0,1.64,0,0,0.55,0,0,0,0,25.69
