stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,6.69,0,0,127.16,2.68,0,1.34,0,0,0,0,0,0,2.68,0,5.35,18.74,109.76,6.69,0,0,28.11,0,0,2.68,0,0,1.34,2.68,0,1.34,1.34,0,0,1.34
3Month,0,0.96,0.32,256.28,0,1.28,0,0.32,2.24,4.8,0,13.76,4.48,0.32,6.08,23.04,11.84,8.64,7.68,1.28,0,95.98,14.72,1.28,0,1.6,0.64,0,0.32,6.08,0,0.32,0.64,1.92,4.48
22Month,0,0.55,0.55,149.78,0,1.64,0,0,2.73,5.47,1.64,22.41,2.19,1.09,4.92,4.92,3.28,7.11,6.56,0,0.55,83.64,2.19,0,0,0.55,1.09,0.55,0,0,0,0,0,0,3.28
