stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,130.76,40.86,155.28,4.09,0,0,0,0,0,0,8.17,4.09,0,0,0,12.26,12.26,12.26,429.07,0,0,0,122.59,2386.46,0,0,49.04,0,0,0,0,0,8.17,0,0,0
72hpf,66.33,29.95,37.44,14.98,7.49,1.07,0,0,0,0,0,0,0,0,0,14.98,65.26,0,201.12,0,4.28,3.21,1199.24,231.07,1.07,2.14,154.05,2.14,1.07,31.02,0,0,8.56,0,0,0
21Day,82.99,8.03,13.39,4.02,6.69,4.02,0,1.34,1.34,0,0,2.68,0,5.35,0,1.34,8.03,0,155.27,0,0,25.43,349.36,119.13,1.34,4.02,62.91,14.72,1.34,13.39,2.68,1.34,4.02,0,0,1.34
3Month,0.32,4.16,7.36,0,0,0.32,0.32,0.96,0.64,0.96,0,4.48,0.96,0.32,3.52,0.32,1.6,0.96,8.64,3.84,0.32,1.92,0.96,0,1.6,0.32,0.64,0.32,23.36,0,0,0,0,1.28,1.92,0
22Month,0,6.56,6.01,0,0,0.55,0,0.55,1.64,1.64,0,32.8,1.09,2.19,3.28,0,0,2.19,6.01,0.55,1.09,0,0.55,1.09,2.19,0,0.55,0.55,14.76,0,0,0,0,0.55,0,1.64
