stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,24.52,0,40.86,12.26,4.09,0,0,0,0,0,16.35,0,0,0,0,8.17,8.17,4.09,98.07,0,0,0,4.09,16.35,964.39,0,0,8.17,0,0,0,0,0,0,8.17,0,0,0
72hpf,51.35,19.26,0,89.86,19.26,36.37,0,2.14,0,1.07,1.07,0,0,0,3.21,0,44.93,126.24,6.42,143.35,0,13.91,6.42,3.21,1113.65,644.01,9.63,5.35,135.86,4.28,0,0,77.02,16.05,11.77,19.26,0,0,0
21Day,77.63,2.68,2.68,99.05,2.68,46.85,0,28.11,2.68,2.68,0,0,2.68,2.68,41.49,5.35,6.69,24.09,20.08,159.29,0,0,16.06,0,294.48,132.51,1.34,1.34,91.02,13.39,0,4.02,10.71,17.4,40.16,1.34,0,0,5.35
3Month,0,6.08,3.52,153.9,0.64,0,3.52,3.2,31.36,14.4,0.96,0,314.51,20.48,4.48,88.31,13.12,36.79,16,30.72,7.36,0.96,15.04,14.4,7.36,2.88,11.52,6.72,6.72,8.64,0.32,148.14,2.24,0.96,0.32,1.28,5.44,7.68,39.67
22Month,0.55,10.39,9.29,70.52,0.55,0,6.56,3.28,19.68,31.71,28.97,0,743.45,19.13,10.93,151.97,4.37,7.65,49.75,33.35,3.28,16.95,18.59,1.09,14.76,0,24.05,10.93,9.84,1.09,0,48.11,7.11,7.65,0,0,2.19,0,31.71
