stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,53.12,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,217.17,19.26,0,0,8.56,0,0,1.07,0,0,0,0
21Day,4.02,0,0,5.35,2.68,6.69,0,0,0,0,0,0,1.34,1.34,1.34,0,2.68,1.34,18.74,0,0,1.34,148.58,29.45,2.68,0,2.68,0,1.34,9.37,0,0,0,0
3Month,0.32,0,0.32,2.56,0,0,0.32,0.32,0.96,1.92,0,9.6,1.28,1.28,1.92,0.32,1.28,1.6,1.6,1.28,0.32,0.64,1.28,0.32,0.32,0,1.28,0.32,14.72,0,0.32,0.64,0.96,3.52
22Month,0,0.55,0,2.73,0,0,0.55,0,0.55,1.09,1.09,43.73,1.64,1.64,4.92,0,1.64,4.37,4.92,0,0,1.64,0,0.55,0.55,1.09,0.55,0.55,6.01,0,0,0,0,1.09
