stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,6.42,0,4.28,0,0,0,0,0,0,0,0,239.63,0,1.07,0,0,0,0,10.7,8.56,0,5.35,0,14.98,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,5.35,1.34,1.34,0,0,0,0,0,1.34,0,0,1.34,1.34,5.35,0,0,0,0,8.03,6.69,0,161.96,0,45.51,0,0,1.34,1.34,1.34,0,0,1.34
3Month,0,1.6,0.96,8,0.32,0,0.32,0.96,5.12,10.88,8.32,0,5.12,1.28,6.08,4.8,101.74,27.2,0,2.24,1.92,0.96,0,0.32,631.26,0,145.9,0.64,2.88,0.96,0,0,1.6,5.44,3.84
22Month,0,1.09,0.55,2.73,0,0,0,0,3.83,15.31,0.55,0,1.09,0,0,2.73,41.55,0,0.55,0,0,2.19,0,0,363.53,3.28,59.59,0,0,5.47,0,0,3.83,0,0.55
