stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,2.14,6.42,2.14,7.49,0,0,1.07,3.21,4.28,0,0,0,3.21,0,0,2.14,0,0,0,0
21Day,4.02,2.68,1.34,10.71,0,5.35,0,0,0,0,0,0,0,8.03,1.34,1.34,13.39,10.71,17.4,0,2.68,0,10.71,2.68,0,0,0,1.34,0,0,1.34,1.34,0,0,6.69
3Month,0,2.24,0.32,11.84,0,0,0,0,0.32,5.76,0,13.76,7.04,1.28,3.2,0.96,9.28,8.64,9.92,4.48,0.96,1.28,0.64,0.32,0.64,0,0,0.32,0.32,3.2,0.64,0,2.56,5.12,3.52
22Month,0,4.92,0.55,6.56,0.55,0,1.09,1.09,3.28,16.95,8.2,38.27,2.19,1.09,3.28,0,2.19,8.2,13.67,2.19,0.55,0,0.55,0,0,0.55,1.09,0.55,0,1.09,4.37,0,0,0,1.64
