stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,28.6,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,65.38,0,0,0,0,36.78,12.26,0,20.43,0,0,0,0,0,0,0,0
72hpf,5.35,4.28,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,2.14,3.21,5.35,17.12,0,0,1.07,0,8.56,3.21,0,24.61,1.07,0,1.07,0,0,0,0,0
21Day,4.02,0,0,6.69,1.34,0,2.68,0,4.02,0,0,0,0,10.71,1.34,1.34,12.05,1.34,26.77,0,0,8.03,1.34,5.35,0,0,17.4,1.34,0,0,1.34,1.34,0,0,8.03
3Month,0,0.96,0.32,1.92,0,0.32,0,0,10.56,0,0,0.96,5.76,0.96,0.64,0.32,3.2,1.28,3.84,0.96,0,0.32,0,0.96,0,0.32,0.32,0,0.96,0,0,0,3.2,0.32,9.28
22Month,0,1.64,0.55,3.28,0,0,0,1.64,16.4,0.55,0,2.73,3.28,0,1.64,0,1.64,2.19,6.01,0,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,4.92
