stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,2.14,0,0,0,0,0,1.07,0,0,0,17.12,0,2.14,2.14,9.63,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,2.68,0,1.34,1.34,0,0,21.42,2.68,1.34,2.68,12.05,1.34,0,0,0,0,0
3Month,0,0.32,1.6,0,0,0.64,0.96,0.32,0,3.2,0.64,2.24,6.72,0,6.4,4.8,0.96,0,1.6,0.64,0,0.64,0.32
22Month,0,0,0,0,0,0,2.19,0,0,0,0,0,0.55,0,3.83,1.64,0.55,0,0.55,0,0.55,0,0
