stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,16.35,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,7.49,2.14,5.35,0,0,0,0,0,0,0,0,4.28,36.37,13.91,0,13.91,7.49,6.42,6.42,1200.31,35.3,8.56,9.63,13.91,0,0,5.35,1.07,0,0,0,0
21Day,6.69,0,0,9.37,0,17.4,0,2.68,0,0,0,2.68,2.68,4.02,37.48,0,0,2.68,14.72,0,66.93,0,429.67,14.72,6.69,5.35,12.05,13.39,1.34,6.69,2.68,4.02,1.34,0,1.34
3Month,0.64,0,9.6,6.72,0,0,0.64,0,3.2,1.92,0,8,1.28,0,167.97,0,1.28,0.96,1.28,0,1.28,121.9,37.11,0,12.48,4.8,0.32,2.56,4.8,0.64,0.32,0,0.96,2.56,1.6
22Month,2.19,0.55,3.83,3.83,0,0,0,0,3.28,2.73,0.55,75.44,0.55,1.09,180.94,0.55,0,1.64,4.37,1.64,2.73,8.75,26.79,0,25.69,21.32,0,0,23.51,2.19,1.09,0,1.09,0,1.09
