stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,8.17,0,0,0,0,0,0
3Month,0.32,0.32,2.24,0.32,1.28,0,3.2,0.32,0.32,0.32,0.96,1.6,0.32,0,0,0,0.64,24.96,20.16,0.32
22Month,0.55,0,0.55,0,0,0,5.47,0,0.55,1.09,0,1.09,0,0,0.55,3.28,0.55,12.03,0.55,0.55
