stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,3.21,0,0,5.35,0,0,1.07,0,0,0,0,0,0
21Day,0,4.02,2.68,0,0,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,1.28,3.52,0,0.64,0.96,0.64,129.26,0.32,2.56,0.64,0.32,0.32,2.88,0.32,0.64,0.32,0,0,1.6,0.64,0.64,0.32,0
22Month,1.64,1.09,0,0,0,0.55,23.51,0,0,0,0,0,1.64,3.28,0,0,0,0,0,0,0,0,0
