stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,4.09,61.3,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,10.7,0,0,0,104.84,35.3,1.07,6.42,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,2.68,0,6.69,0,0,0,30.79,10.71,0,5.35,2.68,0,0,0,0,0
3Month,0,0.32,3.2,0.32,0,0.64,0.96,0,10.24,1.6,0.32,0.96,0.64,0.64,0.96,2.88,1.28,0,0,2.24,0.32,0.96,0.32,0.32,10.88,0.32,0.64,6.4,5.12
22Month,0.55,0,3.83,0,0,0.55,3.28,1.09,51.39,0,0.55,2.19,0,0.55,4.92,3.83,0.55,0.55,0.55,0.55,0.55,1.09,0,0,4.37,0,1.09,0,1.09
