stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,1.34
3Month,0,0.64,1.6,0.32,0,2.24,0.32,0,0.64,0.32,0.64,0,0.32,0.32,0.32,0.32,0,0.64,0,3.2,0,15.68,0
22Month,0,0,1.64,0,1.64,14.76,0,0.55,2.73,0,0,1.09,1.09,0,0,0,0,0,0,0.55,0,0,0
