stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,2.68,0,0,0,0,1.34,0,4.02,0,0,0,0
3Month,0.32,0.96,0.32,18.88,0.32,0,13.44,1.6,6.08,3.2,0,20.8,0,2.24,5.12,2.56,0.32,0.96,0.64,0.32,0,2.56,0,0,0.32,0.32,7.04,0,1.28,15.68,4.48
22Month,0,7.65,0.55,6.56,0,0.55,1.64,1.09,19.13,1.09,1.09,3.28,0.55,1.64,2.19,9.84,1.09,1.09,0,0,0.55,2.73,0.55,0.55,0,0,1.64,1.09,1.09,0,2.19
