stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,4.09,0,4.09,32.69,12.26,20.43,0,0,40.86,0,0,0,0,0,0,0
72hpf,1.07,2.14,1.07,0,2.14,0,0,0,2.14,23.54,0,8.56,0,8.56,10.7,7.49,1.07,0,1.07,1.07,0,0
21Day,1.34,9.37,5.35,2.68,0,0,4.02,0,1.34,6.69,4.02,10.71,1.34,8.03,4.02,2.68,1.34,0,0,0,0,1.34
3Month,0,0,0,0,0,0.32,0,0.64,0,0,0,0,0,0,0,0,0,1.92,0,0,0.32,0.32
22Month,0,0,0,0,0,0.55,0,1.64,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
