stage,Cardiomyocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cone_cell
72hpf,1.07,0,29.95,2.14,0,0,1.07
21Day,0,1.34,12.05,2.68,1.34,1.34,0
