stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,20.43,0,53.12,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,10.7,0,1.07,0,0,0,0,0,0,47.07,7.49,0,0,0,0,26.74,7.49,16.05,1.07,1.07,0,0,0,1.07,3.21,7.49,0,0,0
21Day,0,0,10.71,0,1.34,0,0,0,0,0,0,30.79,2.68,0,5.35,0,0,5.35,1.34,6.69,0,0,0,0,5.35,0,5.35,24.09,0,0,0
3Month,0,0.32,105.9,0,0,0.96,1.6,1.92,9.92,2.56,3.2,62.07,1.92,0.96,2.88,0,0.96,15.68,0.64,0.32,2.56,0.64,0,1.6,23.36,0,0.32,0,0.96,51.51,2.56
22Month,0.55,0.55,89.65,0.55,0,0,6.01,2.19,29.52,0,1.64,19.13,0.55,0,1.09,1.64,0,4.92,0,0.55,3.28,0,0.55,0,6.56,0,0,0,0,0,0
