stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,16.35,0,49.04,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,40.86,28.6,118.51,0,0,0,0,24.52,367.78,0,8.17,0,0,0,0,0,0,0,0
72hpf,7.49,4.28,0,8.56,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,0,24.61,28.88,4.28,17.12,0,5.35,0,0,9.63,25.67,0,12.84,2.14,0,6.42,0,1.07,0,0,0
21Day,16.06,4.02,0,66.93,0,8.03,0,12.05,0,1.34,1.34,0,0,1.34,1.34,17.4,4.02,0,22.76,9.37,60.23,0,0,8.03,0,9.37,20.08,0,34.8,5.35,0,5.35,0,0,0,0,1.34
3Month,0,0.96,0.64,23.68,0,0,0.64,1.6,0.32,2.24,3.2,0,0,39.99,2.88,1.92,9.92,1.28,8.64,3.52,12.8,3.2,0.32,2.24,0.64,0.64,0,1.28,1.28,2.24,4.8,0,0,0,2.56,0.32,1.92
22Month,0,2.73,1.09,4.92,0,0,0,0.55,0,1.09,4.92,3.28,0,99.49,4.37,1.64,6.56,1.09,5.47,6.01,12.03,0.55,2.73,1.09,0,0.55,0,1.09,0,0,3.28,0.55,0.55,0,0,0,2.73
