stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,33.16,4.28,1.07,0,0,0,0,13.91,8.56,0,0,0,2.14,0,0,0,1.07,0,0,0,0
21Day,2.68,0,5.35,84.33,0,2.68,0,5.35,0,0,1.34,0,0,4.02,2.68,26.77,1.34,12.05,69.6,26.77,20.08,0,0,2.68,0,8.03,4.02,0,0,0,1.34,0,0,0,0,0,0,0,20.08
3Month,1.6,16,20.8,295.95,1.92,0,3.2,1.28,0.32,121.9,45.43,0.64,0,432.89,61.43,16,181.73,36.79,81.27,123.5,30.72,3.84,0,40.95,26.24,8.64,0.96,9.92,1.28,0,1.28,10.56,0.64,11.52,0.32,0.32,18.24,7.68,85.11
22Month,20.77,50.84,30.07,182.04,1.64,0,4.37,5.47,0,88.01,120.81,21.32,0,925.49,46.47,61.77,227.95,9.84,49.2,182.04,54.12,1.64,13.67,37.17,2.73,7.11,2.73,18.04,3.28,2.19,3.28,6.56,0,38.27,3.28,0,13.67,0,53.03
