stage,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,138.94,0,0,36.78,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0
3Month,1.6,0,0.32,0.64,1.92,2.24,1.92,0.96,0.96,1.6,0.96,0.32,0,0.32,0,0.32,47.99,0.32,32.31,0.32
